Name,Code,Region,State,Year,Month,Visit,Latitude,Longitude
Acadia NP,ACAD,Northeast ,ME,1988,7,799802,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1988,8,909762,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1988,9,601530,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1988,10,455637,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1988,11,303503,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1988,12,50307,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1989,1,41114,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1989,2,42012,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1989,3,74773,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1989,4,324714,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1989,5,579272,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1989,6,704488,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1989,7,999535,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1989,8,1045060,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1989,9,666669,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1989,10,610334,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1989,11,302857,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1989,12,50124,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1990,1,16084,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1990,2,13383,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1990,3,30060,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1990,4,17898,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1990,5,148090,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1990,6,290533,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1990,7,554953,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1990,8,645522,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1990,9,355864,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1990,10,207770,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1990,11,47633,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1990,12,11801,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1991,1,24588,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1991,2,14667,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1991,3,31291,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1991,4,75738,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1991,5,157252,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1991,6,295348,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1991,7,574529,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1991,8,640990,44.35,-68.21
Acadia NP,ACAD,Northeast ,ME,1991,9,377904,44.35,-68.21
